,Rk,Player,MP,MP,Team,Year
6,7.0,Lindsey Hunter,137,19.6,Team1,2005
7,8.0,Carlos Arroyo,31,6.3,Team1,2005
8,9.0,Darvin Ham,8,1.5,Team1,2005
9,10.0,Darko Miličić,7,2.3,Team1,2005
10,11.0,Elden Campbell,1,1.1,Team1,2005
11,12.0,Ronald Dupree,9,1.7,Team1,2005
12,,Team Totals,1705,243.6,Team1,2005
0,1.0,Tim Duncan,285,40.7,Team2,2005
1,2.0,Manu Ginóbili,252,36.0,Team2,2005
2,3.0,Tony Parker,265,37.9,Team2,2005
3,4.0,Robert Horry,204,29.1,Team2,2005
4,5.0,Bruce Bowen,271,38.7,Team2,2005
5,6.0,Nazr Mohammed,158,22.5,Team2,2005
6,7.0,Brent Barry,142,20.3,Team2,2005
7,8.0,Beno Udrih,46,9.1,Team2,2005
8,9.0,Devin Brown,35,5.8,Team2,2005
9,10.0,Rasho Nesterović,25,6.3,Team2,2005
10,11.0,Glenn Robinson,14,4.6,Team2,2005
11,12.0,Tony Massenburg,9,2.9,Team2,2005
12,,Team Totals,1705,243.6,Team2,2005
0,1.0,Dirk Nowitzki,262,43.7,Team1,2006
1,2.0,Jason Terry,240,40.0,Team1,2006
2,3.0,Josh Howard,231,38.4,Team1,2006
3,4.0,Jerry Stackhouse,150,30.0,Team1,2006
4,5.0,Devin Harris,147,24.5,Team1,2006
5,6.0,Erick Dampier,148,24.6,Team1,2006
6,7.0,Adrian Griffin,82,13.7,Team1,2006
7,8.0,Marquis Daniels,53,8.8,Team1,2006
8,9.0,DeSagana Diop,94,15.7,Team1,2006
9,10.0,Keith Van Horn,39,7.8,Team1,2006
10,11.0,Darrell Armstrong,6,6.3,Team1,2006
11,12.0,Didier Ilunga-Mbenga,9,4.5,Team1,2006
12,13.0,Josh Powell,4,3.6,Team1,2006
13,,Team Totals,1465,244.2,Team1,2006
0,1.0,Dwyane Wade,261,43.5,Team2,2006
1,2.0,Antoine Walker,219,36.6,Team2,2006
2,3.0,Shaquille O'Neal,211,35.2,Team2,2006
3,4.0,Jason Williams,188,31.3,Team2,2006
4,5.0,James Posey,177,29.5,Team2,2006
5,6.0,Udonis Haslem,175,29.2,Team2,2006
6,7.0,Alonzo Mourning,66,11.0,Team2,2006
7,8.0,Gary Payton,134,22.3,Team2,2006
8,9.0,Shandon Anderson,31,7.7,Team2,2006
9,10.0,Michael Doleac,1,1.2,Team2,2006
10,11.0,Jason Kapono,2,1.5,Team2,2006
11,,Team Totals,1465,244.2,Team2,2006
0,1.0,LeBron James,170,42.6,Team1,2007
1,2.0,Drew Gooden,110,27.5,Team1,2007
2,3.0,Daniel Gibson,139,34.8,Team1,2007
3,4.0,Sasha Pavlović,127,31.7,Team1,2007
4,5.0,Zydrunas Ilgauskas,103,25.8,Team1,2007
5,6.0,Anderson Varejão,98,24.5,Team1,2007
6,7.0,Damon Jones,65,16.2,Team1,2007
7,8.0,Donyell Marshall,61,15.3,Team1,2007
8,9.0,Eric Snow,41,10.2,Team1,2007
9,10.0,Larry Hughes,44,21.9,Team1,2007
10,11.0,Shannon Brown,0,0.0,Team1,2007
11,12.0,Ira Newble,1,0.9,Team1,2007
12,13.0,Scot Pollard,1,0.9,Team1,2007
13,,Team Totals,960,240.0,Team1,2007
0,1.0,Tony Parker,151,37.8,Team2,2007
1,2.0,Tim Duncan,149,37.3,Team2,2007
2,3.0,Manu Ginóbili,117,29.3,Team2,2007
3,4.0,Bruce Bowen,167,41.7,Team2,2007
4,5.0,Fabricio Oberto,83,20.8,Team2,2007
5,6.0,Francisco Elson,46,11.4,Team2,2007
6,7.0,Michael Finley,74,18.5,Team2,2007
7,8.0,Brent Barry,42,10.6,Team2,2007
8,9.0,Robert Horry,88,22.0,Team2,2007
9,10.0,Jacque Vaughn,41,10.1,Team2,2007
10,11.0,Beno Udrih,1,0.6,Team2,2007
11,,Team Totals,960,240.0,Team2,2007
0,1.0,Kobe Bryant,258,43.0,Team1,2008
1,2.0,Pau Gasol,234,39.0,Team1,2008
2,3.0,Lamar Odom,220,36.7,Team1,2008
3,4.0,Derek Fisher,187,31.2,Team1,2008
4,5.0,Sasha Vujačić,132,22.0,Team1,2008
5,6.0,Vladimir Radmanović,128,21.3,Team1,2008
6,7.0,Jordan Farmar,115,19.2,Team1,2008
7,8.0,Luke Walton,66,11.0,Team1,2008
8,9.0,Trevor Ariza,35,7.0,Team1,2008
9,10.0,Ronny Turiaf,62,10.4,Team1,2008
10,11.0,Chris Mihm,3,2.8,Team1,2008
11,,Team Totals,1440,240.0,Team1,2008
0,1.0,Paul Pierce,233,38.8,Team2,2008
1,2.0,Ray Allen,246,41.0,Team2,2008
2,3.0,Kevin Garnett,228,37.9,Team2,2008
3,4.0,Rajon Rondo,162,27.0,Team2,2008
4,5.0,James Posey,151,25.2,Team2,2008
5,6.0,Leon Powe,53,8.9,Team2,2008
6,7.0,Eddie House,74,18.5,Team2,2008
7,8.0,P.J. Brown,117,19.5,Team2,2008
8,9.0,Kendrick Perkins,92,18.4,Team2,2008
9,10.0,Sam Cassell,51,10.1,Team2,2008
10,11.0,Tony Allen,19,6.3,Team2,2008
11,12.0,Glen Davis,15,14.6,Team2,2008
12,,Team Totals,1440,240.0,Team2,2008
0,1.0,Hedo Türkoğlu,206,41.1,Team1,2009
1,2.0,Rashard Lewis,212,42.5,Team1,2009
2,3.0,Dwight Howard,213,42.6,Team1,2009
3,4.0,Rafer Alston,147,29.5,Team1,2009
4,5.0,Mickaël Piétrus,140,28.0,Team1,2009
5,6.0,Courtney Lee,88,17.6,Team1,2009
6,7.0,J.J. Redick,65,16.3,Team1,2009
7,8.0,Jameer Nelson,90,18.0,Team1,2009
8,9.0,Marcin Gortat,53,10.7,Team1,2009
9,10.0,Tony Battie,35,7.0,Team1,2009
10,,Team Totals,1250,250.0,Team1,2009
0,1.0,Kobe Bryant,219,43.8,Team2,2009
1,2.0,Pau Gasol,212,42.5,Team2,2009
2,3.0,Lamar Odom,169,33.8,Team2,2009
3,4.0,Trevor Ariza,188,37.6,Team2,2009
4,5.0,Derek Fisher,179,35.9,Team2,2009
5,6.0,Andrew Bynum,95,18.9,Team2,2009
6,7.0,Luke Walton,76,15.2,Team2,2009
7,8.0,Jordan Farmar,57,11.5,Team2,2009
8,9.0,Josh Powell,11,5.5,Team2,2009
9,10.0,Shannon Brown,16,5.2,Team2,2009
10,11.0,Didier Ilunga-Mbenga,6,2.0,Team2,2009
11,12.0,Sasha Vujačić,22,4.4,Team2,2009
12,,Team Totals,1250,250.0,Team2,2009
0,1.0,Paul Pierce,278,39.8,Team1,2010
1,2.0,Kevin Garnett,222,31.7,Team1,2010
2,3.0,Ray Allen,276,39.4,Team1,2010
3,4.0,Rajon Rondo,272,38.8,Team1,2010
4,5.0,Glen Davis,144,20.6,Team1,2010
5,6.0,Rasheed Wallace,144,20.6,Team1,2010
6,7.0,Kendrick Perkins,141,23.5,Team1,2010
7,8.0,Nate Robinson,71,10.1,Team1,2010
8,9.0,Tony Allen,103,14.7,Team1,2010
9,10.0,Marquis Daniels,4,2.2,Team1,2010
10,11.0,Michael Finley,5,2.6,Team1,2010
11,12.0,Brian Scalabrine,1,0.9,Team1,2010
12,13.0,Shelden Williams,18,9.2,Team1,2010
13,,Team Totals,1680,240.0,Team1,2010
0,1.0,Kobe Bryant,288,41.2,Team2,2010
1,2.0,Pau Gasol,293,41.9,Team2,2010
2,3.0,Metta World Peace,251,35.9,Team2,2010
3,4.0,Derek Fisher,214,30.6,Team2,2010
4,5.0,Lamar Odom,192,27.4,Team2,2010
5,6.0,Andrew Bynum,175,24.9,Team2,2010
6,7.0,Shannon Brown,84,12.1,Team2,2010
7,8.0,Jordan Farmar,88,12.6,Team2,2010
8,9.0,Sasha Vujačić,52,7.4,Team2,2010
9,10.0,Luke Walton,31,7.8,Team2,2010
10,11.0,Didier Ilunga-Mbenga,3,2.7,Team2,2010
11,12.0,Josh Powell,8,4.1,Team2,2010
12,,Team Totals,1680,240.0,Team2,2010
0,1.0,Dwyane Wade,234,39.0,Team1,2011
1,2.0,Chris Bosh,237,39.4,Team1,2011
2,3.0,LeBron James,262,43.6,Team1,2011
3,4.0,Mario Chalmers,174,28.9,Team1,2011
4,5.0,Udonis Haslem,176,29.4,Team1,2011
5,6.0,Mike Miller,94,15.6,Team1,2011
6,7.0,Mike Bibby,87,17.4,Team1,2011
7,8.0,Eddie House,25,12.3,Team1,2011
8,9.0,Juwan Howard,29,5.9,Team1,2011
9,10.0,Joel Anthony,123,20.6,Team1,2011
10,,Team Totals,1440,240.0,Team1,2011
0,1.0,Dirk Nowitzki,242,40.4,Team2,2011
1,2.0,Jason Terry,195,32.6,Team2,2011
2,3.0,Shawn Marion,215,35.8,Team2,2011
3,4.0,Tyson Chandler,224,37.3,Team2,2011
4,5.0,J.J. Barea,128,21.4,Team2,2011
5,6.0,Jason Kidd,225,37.4,Team2,2011
6,7.0,DeShawn Stevenson,103,17.2,Team2,2011
7,8.0,Ian Mahinmi,27,9.0,Team2,2011
8,9.0,Brian Cardinal,30,6.1,Team2,2011
9,10.0,Brendan Haywood,25,8.5,Team2,2011
10,11.0,Peja Stojaković,26,6.4,Team2,2011
11,,Team Totals,1440,240.0,Team2,2011
0,1.0,Kevin Durant,213,42.6,Team1,2012
1,2.0,Russell Westbrook,211,42.3,Team1,2012
2,3.0,James Harden,164,32.8,Team1,2012
3,4.0,Serge Ibaka,132,26.3,Team1,2012
4,5.0,Derek Fisher,128,25.6,Team1,2012
5,6.0,Kendrick Perkins,116,23.2,Team1,2012
6,7.0,Thabo Sefolosha,130,25.9,Team1,2012
7,8.0,Nick Collison,83,16.6,Team1,2012
8,9.0,Royal Ivey,3,3.0,Team1,2012
9,10.0,Cole Aldrich,5,4.7,Team1,2012
10,11.0,Daequan Cook,11,3.5,Team1,2012
11,12.0,Lazar Hayward,5,4.7,Team1,2012
12,,Team Totals,1200,240.0,Team1,2012
0,1.0,LeBron James,220,44.1,Team2,2012
1,2.0,Dwyane Wade,203,40.6,Team2,2012
2,3.0,Chris Bosh,183,36.6,Team2,2012
3,4.0,Shane Battier,187,37.5,Team2,2012
4,5.0,Mario Chalmers,183,36.5,Team2,2012
5,6.0,Mike Miller,44,8.9,Team2,2012
6,7.0,Norris Cole,44,11.0,Team2,2012
7,8.0,Udonis Haslem,81,16.3,Team2,2012
8,9.0,James Jones,43,10.7,Team2,2012
9,10.0,Terrel Harris,3,3.0,Team2,2012
10,11.0,Joel Anthony,2,2.1,Team2,2012
11,12.0,Juwan Howard,3,3.0,Team2,2012
12,13.0,Ronny Turiaf,3,3.0,Team2,2012
13,,Team Totals,1200,240.0,Team2,2012
0,1.0,Tim Duncan,254,36.3,Team1,2013
1,2.0,Tony Parker,246,35.2,Team1,2013
2,3.0,Kawhi Leonard,255,36.5,Team1,2013
3,4.0,Danny Green,248,35.4,Team1,2013
4,5.0,Manu Ginóbili,199,28.5,Team1,2013
5,6.0,Gary Neal,171,24.4,Team1,2013
6,7.0,Tiago Splitter,107,15.4,Team1,2013
7,8.0,Boris Diaw,94,15.7,Team1,2013
8,9.0,DeJuan Blair,17,5.8,Team1,2013
9,10.0,Matt Bonner,36,6.1,Team1,2013
10,11.0,Cory Joseph,43,7.1,Team1,2013
11,12.0,Patty Mills,13,6.7,Team1,2013
12,13.0,Nando De Colo,5,2.5,Team1,2013
13,14.0,Tracy McGrady,14,7.2,Team1,2013
14,,Team Totals,1705,243.6,Team1,2013
0,1.0,LeBron James,301,43.0,Team2,2013
1,2.0,Dwyane Wade,255,36.4,Team2,2013
2,3.0,Chris Bosh,240,34.3,Team2,2013
3,4.0,Ray Allen,193,27.5,Team2,2013
4,5.0,Mario Chalmers,221,31.6,Team2,2013
5,6.0,Shane Battier,87,12.4,Team2,2013
6,7.0,Mike Miller,152,21.8,Team2,2013
7,8.0,Chris Andersen,71,14.2,Team2,2013
8,9.0,Norris Cole,82,16.3,Team2,2013
9,10.0,Udonis Haslem,64,10.6,Team2,2013
10,11.0,James Jones,12,3.9,Team2,2013
11,12.0,Rashard Lewis,12,3.9,Team2,2013
12,13.0,Joel Anthony,15,3.7,Team2,2013
13,,Team Totals,1705,243.6,Team2,2013
0,1.0,LeBron James,189,37.8,Team1,2014
1,2.0,Dwyane Wade,172,34.5,Team1,2014
2,3.0,Chris Bosh,181,36.3,Team1,2014
3,4.0,Ray Allen,155,31.0,Team1,2014
4,5.0,Rashard Lewis,114,22.9,Team1,2014
5,6.0,Mario Chalmers,116,23.1,Team1,2014
6,7.0,Norris Cole,84,16.7,Team1,2014
7,8.0,Chris Andersen,90,17.9,Team1,2014
8,9.0,James Jones,14,3.4,Team1,2014
9,10.0,Michael Beasley,17,17.0,Team1,2014
10,11.0,Toney Douglas,10,3.4,Team1,2014
11,12.0,Udonis Haslem,22,5.6,Team1,2014
12,13.0,Shane Battier,33,8.2,Team1,2014
13,14.0,Greg Oden,3,1.5,Team1,2014
14,,Team Totals,1200,240.0,Team1,2014
0,1.0,Tony Parker,176,35.2,Team2,2014
1,2.0,Kawhi Leonard,167,33.4,Team2,2014
2,3.0,Tim Duncan,165,33.1,Team2,2014
3,4.0,Manu Ginóbili,143,28.7,Team2,2014
4,5.0,Patty Mills,76,15.2,Team2,2014
5,6.0,Danny Green,106,21.1,Team2,2014
6,7.0,Boris Diaw,176,35.2,Team2,2014
7,8.0,Tiago Splitter,84,16.8,Team2,2014
8,9.0,Marco Belinelli,59,11.8,Team2,2014
9,10.0,Aron Baynes,6,2.1,Team2,2014
10,11.0,Jeff Ayres,7,2.2,Team2,2014
11,12.0,Matt Bonner,27,6.7,Team2,2014
12,13.0,Cory Joseph,8,2.5,Team2,2014
13,,Team Totals,1200,240.0,Team2,2014
0,1.0,LeBron James,274,45.7,Team1,2015
1,2.0,Timofey Mozgov,170,28.3,Team1,2015
2,3.0,J.R. Smith,202,33.6,Team1,2015
3,4.0,Tristan Thompson,247,41.1,Team1,2015
4,5.0,Matthew Dellavedova,191,31.8,Team1,2015
5,6.0,Iman Shumpert,215,35.9,Team1,2015
6,7.0,Kyrie Irving,44,43.6,Team1,2015
7,8.0,James Jones,113,18.8,Team1,2015
8,9.0,Mike Miller,28,5.7,Team1,2015
9,10.0,Kendrick Perkins,3,3.1,Team1,2015
10,11.0,Joe Harris,3,1.6,Team1,2015
11,,Team Totals,1490,248.3,Team1,2015
0,1.0,Stephen Curry,255,42.5,Team2,2015
1,2.0,Andre Iguodala,222,37.1,Team2,2015
2,3.0,Klay Thompson,227,37.9,Team2,2015
3,4.0,Draymond Green,222,37.0,Team2,2015
4,5.0,Harrison Barnes,198,32.9,Team2,2015
5,6.0,Leandro Barbosa,64,10.7,Team2,2015
6,7.0,Shaun Livingston,120,20.1,Team2,2015
7,8.0,Festus Ezeli,50,10.0,Team2,2015
8,9.0,David Lee,39,9.7,Team2,2015
9,10.0,Andrew Bogut,74,18.4,Team2,2015
10,11.0,Marreese Speights,16,5.3,Team2,2015
11,12.0,Justin Holiday,2,2.1,Team2,2015
12,13.0,James Michael McAdoo,1,1.2,Team2,2015
13,,Team Totals,1490,248.3,Team2,2015
0,1.0,Stephen Curry,246,35.1,Team1,2016
1,2.0,Klay Thompson,247,35.3,Team1,2016
2,3.0,Draymond Green,240,40.0,Team1,2016
3,4.0,Harrison Barnes,222,31.7,Team1,2016
4,5.0,Andre Iguodala,239,34.1,Team1,2016
5,6.0,Shaun Livingston,148,21.1,Team1,2016
6,7.0,Leandro Barbosa,79,13.1,Team1,2016
7,8.0,Andrew Bogut,60,12.0,Team1,2016
8,9.0,Festus Ezeli,61,8.6,Team1,2016
9,10.0,Marreese Speights,33,4.7,Team1,2016
10,11.0,Ian Clark,19,4.8,Team1,2016
11,12.0,Anderson Varejão,41,6.9,Team1,2016
12,13.0,James Michael McAdoo,18,6.1,Team1,2016
13,14.0,Brandon Rush,28,5.5,Team1,2016
14,,Team Totals,1680,240.0,Team1,2016
0,1.0,LeBron James,292,41.7,Team2,2016
1,2.0,Kyrie Irving,273,39.0,Team2,2016
2,3.0,J.R. Smith,261,37.3,Team2,2016
3,4.0,Tristan Thompson,226,32.3,Team2,2016
4,5.0,Kevin Love,158,26.3,Team2,2016
5,6.0,Richard Jefferson,168,24.0,Team2,2016
6,7.0,Iman Shumpert,128,18.3,Team2,2016
7,8.0,Matthew Dellavedova,46,7.6,Team2,2016
8,9.0,Mo Williams,29,4.8,Team2,2016
9,10.0,Dahntay Jones,18,3.0,Team2,2016
10,11.0,Timofey Mozgov,25,5.0,Team2,2016
11,12.0,Jordan McRae,3,3.0,Team2,2016
12,13.0,Channing Frye,33,8.3,Team2,2016
13,14.0,James Jones,20,4.0,Team2,2016
14,,Team Totals,1680,240.0,Team2,2016
0,1.0,LeBron James,212,42.4,Team1,2017
1,2.0,Kyrie Irving,202,40.3,Team1,2017
2,3.0,Kevin Love,161,32.2,Team1,2017
3,4.0,J.R. Smith,146,29.2,Team1,2017
4,5.0,Richard Jefferson,83,16.6,Team1,2017
5,6.0,Tristan Thompson,132,26.4,Team1,2017
6,7.0,Kyle Korver,97,19.3,Team1,2017
7,8.0,Iman Shumpert,66,13.3,Team1,2017
8,9.0,Dahntay Jones,10,3.5,Team1,2017
9,10.0,Derrick Williams,10,3.4,Team1,2017
10,11.0,Deron Williams,61,12.2,Team1,2017
11,12.0,Channing Frye,11,11.2,Team1,2017
12,13.0,James Jones,8,2.8,Team1,2017
13,,Team Totals,1200,240.0,Team1,2017
0,1.0,Kevin Durant,199,39.7,Team2,2017
1,2.0,Stephen Curry,189,37.7,Team2,2017
2,3.0,Klay Thompson,183,36.5,Team2,2017
3,4.0,Draymond Green,177,35.4,Team2,2017
4,5.0,Andre Iguodala,141,28.2,Team2,2017
5,6.0,Shaun Livingston,75,15.0,Team2,2017
6,7.0,David West,50,10.0,Team2,2017
7,8.0,Ian Clark,44,11.1,Team2,2017
8,9.0,Zaza Pachulia,66,13.2,Team2,2017
9,10.0,Patrick McCaw,34,6.8,Team2,2017
10,11.0,JaVale McGee,22,5.6,Team2,2017
11,12.0,James Michael McAdoo,11,2.8,Team2,2017
12,13.0,Matt Barnes,9,1.8,Team2,2017
13,,Team Totals,1200,240.0,Team2,2017
0,1.0,LeBron James,179,44.7,Team1,2018
1,2.0,Kevin Love,133,33.2,Team1,2018
2,3.0,J.R. Smith,130,32.5,Team1,2018
3,4.0,George Hill,117,29.2,Team1,2018
4,5.0,Rodney Hood,56,14.1,Team1,2018
5,6.0,Tristan Thompson,94,23.4,Team1,2018
6,7.0,Larry Nance,68,17.1,Team1,2018
7,8.0,Jeff Green,97,24.4,Team1,2018
8,9.0,Jordan Clarkson,25,12.6,Team1,2018
9,10.0,Kyle Korver,65,16.2,Team1,2018
10,11.0,Ante Žižić,5,1.7,Team1,2018
11,12.0,José Calderón,8,2.5,Team1,2018
12,13.0,Cedi Osman,8,2.8,Team1,2018
13,,Team Totals,985,246.3,Team1,2018
0,1.0,Kevin Durant,165,41.3,Team2,2018
1,2.0,Stephen Curry,162,40.6,Team2,2018
2,3.0,Klay Thompson,148,37.0,Team2,2018
3,4.0,Draymond Green,165,41.4,Team2,2018
4,5.0,JaVale McGee,55,13.8,Team2,2018
5,6.0,Shaun Livingston,65,16.2,Team2,2018
6,7.0,Jordan Bell,54,13.5,Team2,2018
7,8.0,Andre Iguodala,45,22.3,Team2,2018
8,9.0,Kevon Looney,39,9.7,Team2,2018
9,10.0,Zaza Pachulia,6,3.1,Team2,2018
10,11.0,David West,28,7.0,Team2,2018
11,12.0,Nick Young,38,9.5,Team2,2018
12,13.0,Quinn Cook,4,1.8,Team2,2018
13,14.0,Patrick McCaw,11,2.7,Team2,2018
14,,Team Totals,985,246.3,Team2,2018
0,1.0,Stephen Curry,250,41.7,Team1,2019
1,2.0,Klay Thompson,188,37.6,Team1,2019
2,3.0,Draymond Green,248,41.3,Team1,2019
3,4.0,Andre Iguodala,188,31.4,Team1,2019
4,5.0,DeMarcus Cousins,108,18.0,Team1,2019
5,6.0,Quinn Cook,88,14.6,Team1,2019
6,7.0,Kevon Looney,104,20.8,Team1,2019
7,8.0,Shaun Livingston,98,16.3,Team1,2019
8,9.0,Jonas Jerebko,26,6.5,Team1,2019
9,10.0,Alfonzo McKinnie,57,9.6,Team1,2019
10,11.0,Andrew Bogut,45,8.9,Team1,2019
11,12.0,Kevin Durant,12,12.0,Team1,2019
12,13.0,Jordan Bell,25,6.3,Team1,2019
13,14.0,Jacob Evans,2,0.6,Team1,2019
14,15.0,Damian Jones,2,1.6,Team1,2019
15,,Team Totals,1440,240.0,Team1,2019
0,1.0,Kawhi Leonard,243,40.5,Team2,2019
1,2.0,Pascal Siakam,241,40.1,Team2,2019
2,3.0,Kyle Lowry,229,38.1,Team2,2019
3,4.0,Fred VanVleet,195,32.4,Team2,2019
4,5.0,Marc Gasol,173,28.8,Team2,2019
5,6.0,Serge Ibaka,116,19.3,Team2,2019
6,7.0,Danny Green,163,27.2,Team2,2019
7,8.0,Norman Powell,66,11.0,Team2,2019
8,9.0,Patrick McCaw,12,3.1,Team2,2019
9,10.0,Jeremy Lin,1,0.9,Team2,2019
10,11.0,Jodie Meeks,1,0.9,Team2,2019
11,12.0,Malcolm Miller,1,0.9,Team2,2019
12,,Team Totals,1440,240.0,Team2,2019
